timestamp,symbol,type,entry,stop_loss,take_profit,atr,rr,notes,outcome,pnl_percentage,exit_price,exit_time,pnl_usd,position_size,balance_after_trade
2025-10-13 09:00:00,BTCUSDT,LONG_HAMMER,115127.04,113612.65940842,117651.00765263,1009.5870610532678,1.67,hammer,LOSS,-1.0,113612.65940842,2025-10-20 17:00:00,-105.58309153205428,0.06972031477364414,10452.726061673373
2025-10-11 20:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,110244.98,111857.57228432,107557.3261928,1075.0615228816262,1.67,wyckoff_upthrust,WIN,1.6666666666666545,107557.3261928,2025-10-20 00:00:00,174.21210102788828,0.06481939770709637,10626.93816270126
2025-10-11 18:00:00,BTCUSDT,LONG_HAMMER,111955.27,110296.92726505,114719.17455825,1105.5618233009936,1.67,hammer,LOSS,-1.0,110296.92726505,2025-10-20 16:00:00,-106.2693816270126,0.0640816758727603,10520.668781074248
2025-10-11 03:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,112300.01,113987.95776979,109486.76371702,1125.2985131934863,1.67,wyckoff_upthrust,WIN,1.6666666666646865,109486.76371702,2025-10-20 03:00:00,175.34447968436248,0.06232816541700895,10696.013260758611
2025-10-11 02:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,113196.48,111391.67992805,116204.48011991,1203.20004796538,1.67,wyckoff_spring,LOSS,-1.0,111391.67992805,2025-10-20 17:00:00,-106.96013260758612,0.059264255509487516,10589.053128151025
2025-10-10 22:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,113700.0,111404.85945856,117525.23423573,1530.093694292463,1.67,wyckoff_spring,LOSS,-1.0000000000000002,111404.85945856,2025-10-20 17:00:00,-105.89053128151026,0.04613683971399542,10483.162596869515
2025-10-10 21:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,113451.86,116987.99300276,107558.30499539,2357.422001843002,1.67,wyckoff_upthrust,WIN,1.6666666666694911,107558.30499539,2025-10-20 00:00:00,174.71937661478802,0.029645837949780873,10657.881973484304
2025-10-05 04:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,125172.81,123866.13987855,127350.59353575,871.113414301056,1.67,wyckoff_spring,LOSS,-1.0,123866.13987855,2025-10-20 17:00:00,-106.57881973484304,0.08156520761075807,10551.30315374946
2025-10-05 02:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,124031.44,122506.46134936,126573.0710844,1016.652433759584,1.67,wyckoff_spring,LOSS,-1.0000000000000002,122506.46134936,2025-10-20 17:00:00,-105.51303153749463,0.06918984176808854,10445.790122211965
2025-10-03 16:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,122553.3,123633.55441473,120752.87597545,720.1696098197712,1.67,shooting_star,WIN,1.6666666666666756,120752.87597545,2025-10-20 17:00:00,174.09650203686704,0.09669749995720103,10619.886624248833
2025-10-03 11:00:00,BTCUSDT,LONG_HAMMER,120334.5,119092.09442114,122405.17596476,828.2703859047064,1.67,hammer,LOSS,-1.0,119092.09442114,2025-10-20 17:00:00,-106.19886624248834,0.08547842029165244,10513.687758006345
2025-10-02 16:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,119731.4,120756.94654325,118022.15576125,683.697695498664,1.67,shooting_star,WIN,1.6666666666666479,118022.15576125,2025-10-20 17:00:00,175.22812930010377,0.10251789962343365,10688.915887306448
2025-10-02 15:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,119910.78,118809.08678127,121746.93536455,734.4621458201875,1.67,wyckoff_spring,LOSS,-1.0,118809.08678127,2025-10-20 17:00:00,-106.88915887306449,0.0970226166920438,10582.026728433384
2025-10-02 13:00:00,BTCUSDT,LONG_HAMMER,119621.2,118443.56666344,121583.9222276,785.0888910388356,1.67,hammer,LOSS,-1.0,118443.56666344,2025-10-20 17:00:00,-105.82026728433384,0.0898584168765524,10476.20646114905
2025-10-01 16:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,117535.79,118592.62410379,115774.39982701,704.5560691958909,1.67,shooting_star,WIN,1.666666666672955,115774.39982701,2025-10-20 17:00:00,174.6034410198096,0.09912820208563826,10650.80990216886
2025-10-01 08:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,116111.28,117272.22844725,114176.36592125,773.9656315017158,1.67,wyckoff_upthrust,WIN,1.666666666666654,114176.36592125,2025-10-20 17:00:00,177.51349836947966,0.09174231575396785,10828.323400538338
2025-10-01 04:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,114289.01,115456.74915184,112342.77808027,778.4927678915168,1.67,shooting_star,WIN,1.6666666666637926,112342.77808027,2025-10-20 17:00:00,180.47205667532774,0.09272895734870334,11008.795457213666
2025-10-01 03:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,114176.92,115307.73849813,112292.22250311,753.878998756408,1.67,shooting_star,WIN,1.6666666666725647,112292.22250311,2025-10-20 17:00:00,183.47992428754375,0.09735245289512486,11192.27538150121
2025-09-30 14:00:00,BTCUSDT,LONG_HAMMER,113595.05,112511.99786076,115400.13689874,722.0347594960502,1.67,hammer,LOSS,-1.0,112511.99786076,2025-10-20 17:00:00,-111.9227538150121,0.10334013456965324,11080.352627686198
2025-09-30 12:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,113002.06,114060.94791598,111237.2468067,705.9252773205735,1.67,shooting_star,WIN,1.6666666666666667,111237.2468067,2025-10-20 17:00:00,184.67254379476995,0.10464141162127966,11265.025171480967
2025-09-26 18:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,109727.99,110265.68664371,108831.82892715,358.4644291384666,1.67,shooting_star,LOSS,-1.0,110265.68664371,2025-10-20 17:00:00,-112.65025171480967,0.20950521643123385,11152.374919766158
2025-09-26 14:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108836.0,109542.67210449,107658.21315919,471.1147363240252,1.67,wyckoff_upthrust,LOSS,-1.0,109542.67210449,2025-10-20 17:00:00,-111.52374919766159,0.1578154118283002,11040.851170568496
2025-09-26 10:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108895.0,109747.63057063,107473.94904895,568.4203804183263,1.67,wyckoff_upthrust,LOSS,-1.0,109747.63057063,2025-10-20 17:00:00,-110.40851170568496,0.12949161748224047,10930.44265886281
2025-09-26 03:00:00,BTCUSDT,LONG_HAMMER,109580.01,108769.35485113,110931.10191478,540.4367659100485,1.67,hammer,WIN,1.6666666666625738,110931.10191478,2025-10-20 17:00:00,182.1740443139328,0.13483467876691146,11112.616703176744
2025-09-25 23:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108994.49,109850.7525525,107567.38574584,570.8417016648498,1.67,wyckoff_upthrust,LOSS,-1.0,109850.7525525,2025-10-20 17:00:00,-111.12616703176744,0.12978048229169617,11001.490536144976
2025-09-25 18:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,109760.2,108825.7085223,111317.68579617,622.9943184689544,1.67,wyckoff_spring,WIN,1.666666666670248,111317.68579617,2025-10-20 15:00:00,183.3581756028103,0.11772702907063705,11184.848711747787
2025-09-25 17:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108833.63,109949.34351501,106974.10747498,743.8090100068857,1.67,wyckoff_upthrust,LOSS,-1.0,109949.34351501,2025-10-20 17:00:00,-111.84848711747787,0.10024839316970727,11073.000224630308
2025-09-25 15:00:00,BTCUSDT,LONG_HAMMER,111580.77,110259.28551512,113783.24414147,880.9896565875699,1.67,hammer,LOSS,-1.0,110259.28551512,2025-10-20 16:00:00,-110.73000224630309,0.08379213188897808,10962.270222384006
2025-09-25 10:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111648.19,112889.71825419,109578.97624302,827.6855027915607,1.67,shooting_star,WIN,1.6666666666639864,109578.97624302,2025-10-20 03:00:00,182.7045037061063,0.08829658274298462,11144.974726090113
2025-09-25 09:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111571.58,112796.73730746,109529.65115423,816.7715383064491,1.67,shooting_star,WIN,1.6666666666693868,109529.65115423,2025-10-20 03:00:00,185.7495787684717,0.0909677039693449,11330.724304858584
2025-09-25 08:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111727.21,112914.09892836,109749.06178607,791.2592855702735,1.67,shooting_star,WIN,1.666666666663863,109749.06178607,2025-10-20 03:00:00,188.84540508065874,0.09546575112563369,11519.569709939244
2025-09-25 04:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,111735.66,112846.24341805,109884.68763659,740.3889453658006,1.67,wyckoff_upthrust,WIN,1.6666666666606784,109884.68763659,2025-10-20 03:00:00,191.99282849829757,0.10372538904070569,11711.562538437542
2025-09-22 06:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,112800.77,111814.47949063,114444.58751561,657.5270062453939,1.67,wyckoff_spring,LOSS,-1.0,111814.47949063,2025-10-20 17:00:00,-117.11562538437542,0.11874353881716113,11594.446913053167
2025-09-22 02:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,114187.81,115259.84154813,112401.09075311,714.6876987550673,1.67,shooting_star,WIN,1.666666666672879,112401.09075311,2025-10-20 17:00:00,193.24078188493974,0.10815397115204209,11787.687694938108
2025-09-22 01:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,114273.45,115329.14250898,112513.96248503,703.7950059868484,1.67,shooting_star,WIN,1.6666666666698096,112513.96248503,2025-10-20 17:00:00,196.46146158267229,0.1116583436433322,11984.14915652078
2025-09-21 19:00:00,BTCUSDT,LONG_HAMMER,115480.05,114530.58163587,117062.49727355,632.9789094191698,1.67,hammer,LOSS,-1.0,114530.58163587,2025-10-20 17:00:00,-119.8414915652078,0.12621957307131337,11864.307664955571
2025-09-19 12:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,116162.45,116733.55410853,115210.60981912,380.7360723537784,1.67,wyckoff_upthrust,WIN,1.6666666666607977,115210.60981912,2025-10-20 17:00:00,197.73846108189656,0.20774334289931215,12062.046126037469
2025-09-18 16:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,117565.6,118179.09961839,116543.10063602,408.9997455939756,1.67,wyckoff_upthrust,WIN,1.6666666666612668,116543.10063602,2025-10-20 17:00:00,201.03410209997313,0.1966104910984606,12263.080228137442
